 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE OF THE EXECUTIVE ENGINEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICITY DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIVISION-III, CURTI- PONDA-GOA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To,,,,,,,,,                     ,,,,Date:-26-08-2016,,,,,,,,,,,,,,,,,
The Chief Electrical Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidyut Bhavan, Panaji, Goa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub: DLR  with hourly Allocation/ Demand & restrictions of                    ,,,,,,,,,,,25-Aug,2016,Thursday,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Allocation in MW,,,,Demand in MW,,,,,,Surplus,ILR/ PLR in MW,Remarks,,,,,,,,,,,,,,,,,
Hrs,SR,WR,Others,Total,SR,WR,SSL,GEPL,GSPL,Total,+/-,,,,,,,,,,,,,,,,,,,
01,70,306,27.09,403.09,88,272,11.61,14.75,0.73,387.09,16,0,,,,,,,,,,,,,,,,,,
02,70,312,27.09,409.09,87,261,11.61,14.75,0.73,375.09,34,0,,,,,,,,,,,,,,,,,,
03,70,312,27.09,409.09,85,249,11.61,14.75,0.73,361.09,48,0,,,,,,,,,,,,,,,,,,
04,70,312,27.09,409.09,83,247,11.61,14.75,0.73,357.09,52,0,1) Drawal from PGCIL=,,,,,,,,,,,,,,,,,
05,70,312,27.09,409.09,83,239,11.61,14.75,0.73,349.09,60,0,6226720,,,,,,,,,,,,,,,,,
06,70,322,27.09,419.09,84,265,11.61,14.75,0.73,376.09,43,0,,,,,,,,,,,,,,,,,,
07,70,317,27.09,414.09,95,285,11.61,14.75,0.73,407.09,7,0,2) Drawal from MSEB=,,,,,,,,,,,,,,,,,
08,70,317,27.09,414.09,95,278,11.61,14.75,0.73,400.09,14,0,1540000,,,,,,,,,,,,,,,,,
09,70,351,27.09,448.09,91,309,11.61,14.75,0.73,427.09,21,0,,,,,,,,,,,,,,,,,,
10,70,357,27.09,454.09,101,310,11.61,14.75,0.73,438.09,16,0,3) Amona s/s consumption,,,,,,,,,,,,,,,,,
11,70,307,27.09,404.09,99,330,11.61,14.75,0.73,456.09,-52,0,224000,,,,,,,,,,,,,,,,,
12,70,306,27.09,403.09,95,348,11.61,14.75,0.73,470.09,-67,0,,,,,,,,,,,,,,,,,,
13,70,302,27.09,399.09,90,335,11.61,14.75,0.73,452.09,-53,0,4) WR Frequency 50.03Hz,,,,,,,,,,,,,,,,,
