, ,,,,,,,,,,,,
,Date :-,,23-Aug-16,,,,,,,Fig .in MW,,,
   ,HOURS,Frequency,"CATERED
DEMAND
Incl Aux.Cons.","CATERED
DEMAND
Excl. Aux.cons", SCH.,  UNSCH.,"Freq.
Corr.","Power Cuts, Restrcitions, Staggering","Unrestrcited
Demand
Incl. Aux. Cons","Unrestrcited
Demand
Excl. Aux. Cons",INDORE-,SOLAR,WIND
,,Hz,,, L.S., L.S.,,,,,ASOJ,,
,1,49.99,5202,5157,0,0,2,Already Covered In SCH Load Shedding Column.,5204,5159,-486,0,450
,2,49.97,5092,5048,0,0,5,,5097,5052,-483,0,489
,3,49.93,4991,4945,0,0,10,,5001,4956,-466,0,442
,4,49.93,5052,5007,0,0,11,,5062,5018,-479,0,408
,5,49.93,5024,4979,0,0,10,,5035,4990,-483,0,435
,6,49.96,5131,5087,0,0,6,,5137,5093,-489,0,480
,7,49.95,5241,5196,0,0,8,,5249,5203,-537,10,534
,8,49.91,5332,5288,0,0,14,,5347,5303,-527,31,506
,9,49.85,5337,5291,0,0,24,,5360,5315,-489,136,477
,10,49.98,5158,5113,0,0,3,,5161,5116,-545,145,568
,11,50.00,4976,4930,0,0,0,,4976,4930,-543,148,521
,12,50.02,4651,4607,0,0,0,,4651,4607,-489,166,641
,13,49.99,4506,4460,0,0,1,,4507,4462,-459,192,662
,14,49.94,4454,4409,0,0,8,,4462,4417,-439,148,688
,15,50.03,4323,4277,0,0,0,,4323,4277,-428,104,656
,16,49.97,4299,4254,0,0,4,,4303,4258,-503,119,614
,17,49.98,4511,4466,0,0,3,,4514,4469,-543,72,593
,18,50.04,4862,4817,0,0,0,,4862,4817,-489,23,405
,19,49.99,5626,5581,0,0,2,,5628,5583,-489,0,377
,20,49.86,5971,5926,0,0,25,,5996,5951,-449,0,286
,21,50.01,5811,5766,0,0,0,,5811,5766,-466,0,328
,22,50.06,5679,5635,0,0,0,,5679,5635,-523,0,395
,23,49.99,5497,5451,0,0,2,,5498,5453,-550,0,411
,24,50.00,5346,5301,0,0,0,,5346,5301,-442,0,399
,"MORNING PEAK
MW AT 08:45 hrs",49.92,5418,5373,0,0,0,,5418,5340,,,
,"Evening Peak
MW AT 19:30 hrs",49.83,6006,5962,0,0,0,,6006,5948,,,
,,THERMAL,HYDEL, Note :- Frequency Correction is considered @3% of Catered Demand,,,,,,,,,
,Max,511,566,,,,,,,,,,
,Min,488,462,,,,,,,"S/I, SLDC",,,
,,,,,,,,,,"MPPTCL, JBP",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-,-,,,-,-,-,,,,,,,
